gvkey,cik,conm,Role,Source,Date,Time,Title,Content
1045,6201,AMERICAN AIRLINES GROUP INC,"CEO, Chief Executive Officer",,,,,
1045,6201,AMERICAN AIRLINES GROUP INC,"CFO, Chief Financial Officer",,,,,
1618,6207,AMREP CORP,"CEO, Chief Executive Officer",,,,,
1618,6207,AMREP CORP,"CFO, Chief Financial Officer",,,,,
1632,6281,ANALOG DEVICES,"CEO, Chief Executive Officer",,,,,
1632,6281,ANALOG DEVICES,"CFO, Chief Financial Officer",,,,,
1633,6284,ANALOGIC CORP,"CEO, Chief Executive Officer",,,,,
1633,6284,ANALOGIC CORP,"CFO, Chief Financial Officer",,,,,
1650,6494,ANDREA ELECTRONICS CORP,"CEO, Chief Executive Officer",,,,,
1650,6494,ANDREA ELECTRONICS CORP,"CFO, Chief Financial Officer",,,,,
1678,6769,APACHE CORP,"CEO, Chief Executive Officer",,,,,
1678,6769,APACHE CORP,"CFO, Chief Financial Officer",,,,,
1686,6845,APOGEE ENTERPRISES INC,"CEO, Chief Executive Officer",,,,,
1686,6845,APOGEE ENTERPRISES INC,"CFO, Chief Financial Officer",,,,,
1689,6879,APPALACHIAN POWER,"CEO, Chief Executive Officer",,,,,
1689,6879,APPALACHIAN POWER,"CFO, Chief Financial Officer",,,,,
63874,6885,STAGE STORES INC,"CEO, Chief Executive Officer",,,,,
63874,6885,STAGE STORES INC,"CFO, Chief Financial Officer",,,,,
1704,6951,APPLIED MATERIALS INC,"CEO, Chief Executive Officer",,,,,
1704,6951,APPLIED MATERIALS INC,"CFO, Chief Financial Officer",,,,,
1706,6955,ACTUANT CORP  ,"CEO, Chief Executive Officer",,,,,
1706,6955,ACTUANT CORP  ,"CFO, Chief Financial Officer",,,,,
1712,7039,TRECORA RESOURCES,"CEO, Chief Executive Officer",,,,,
1712,7039,TRECORA RESOURCES,"CFO, Chief Financial Officer",,,,,
1722,7084,ARCHER-DANIELS-MIDLAND CO,"CEO, Chief Executive Officer",,,,,
1722,7084,ARCHER-DANIELS-MIDLAND CO,"CFO, Chief Financial Officer",,,,,
1742,7286,ARIZONA PUBLIC SERVICE CO,"CEO, Chief Executive Officer",,,,,
1742,7286,ARIZONA PUBLIC SERVICE CO,"CFO, Chief Financial Officer",,,,,
1745,7323,ENTERGY ARKANSAS,"CEO, Chief Executive Officer",,,,,
1745,7323,ENTERGY ARKANSAS,"CFO, Chief Financial Officer",,,,,
9904,7332,SOUTHWESTERN ENERGY CO,"CEO, Chief Executive Officer",,,,,
9904,7332,SOUTHWESTERN ENERGY CO,"CFO, Chief Financial Officer",,,,,
175689,7431,ARMSTRONG WORLD INDUSTRIES,"CEO, Chief Executive Officer",,,,,
175689,7431,ARMSTRONG WORLD INDUSTRIES,"CFO, Chief Financial Officer",,,,,
1773,7536,ARROW ELECTRONICS INC,"CEO, Chief Executive Officer",,,,,
1773,7536,ARROW ELECTRONICS INC,"CFO, Chief Financial Officer",,,,,
1783,7623,ARTS WAY MFG INC,"CEO, Chief Executive Officer",,,,,
1783,7623,ARTS WAY MFG INC,"CFO, Chief Financial Officer",,,,,
11842,7789,ASSOCIATED BANC-CORP,"CEO, Chief Executive Officer",,,,,
11842,7789,ASSOCIATED BANC-CORP,"CFO, Chief Financial Officer",,,,,
1823,8063,ASTRONICS CORP,"CEO, Chief Executive Officer",,,,,
1823,8063,ASTRONICS CORP,"CFO, Chief Financial Officer",,,,,
1820,8146,ASTRONOVA INC,"CEO, Chief Executive Officer",,,,,
1820,8146,ASTRONOVA INC,"CFO, Chief Financial Officer",,,,,
16671,8177,ATLANTIC AMERICAN CORP,"CEO, Chief Executive Officer",,,,,
16671,8177,ATLANTIC AMERICAN CORP,"CFO, Chief Financial Officer",,,,,
14437,8192,ATLANTIC CITY ELECTRIC CO,"CEO, Chief Executive Officer",,,,,
14437,8192,ATLANTIC CITY ELECTRIC CO,"CFO, Chief Financial Officer",,,,,
61054,8328,APPLIED MINERALS INC,"CEO, Chief Executive Officer",,,,,
61054,8328,APPLIED MINERALS INC,"CFO, Chief Financial Officer",,,,,
1860,8411,ATWOOD OCEANICS,"CEO, Chief Executive Officer",,,,,
1860,8411,ATWOOD OCEANICS,"CFO, Chief Financial Officer",,,,,
27339,8504,AGEAGLE AERIAL SYSTEMS,"CEO, Chief Executive Officer",,,,,
27339,8504,AGEAGLE AERIAL SYSTEMS,"CFO, Chief Financial Officer",,,,,
1891,8670,AUTOMATIC DATA PROCESSING,"CEO, Chief Executive Officer",,,,,
1891,8670,AUTOMATIC DATA PROCESSING,"CFO, Chief Financial Officer",,,,,
1913,8818,AVERY DENNISON CORP,"CEO, Chief Executive Officer",,,,,
1913,8818,AVERY DENNISON CORP,"CFO, Chief Financial Officer",,,,,
1919,8858,AVNET INC,"CEO, Chief Executive Officer",,,,,
1919,8858,AVNET INC,"CFO, Chief Financial Officer",,,,,
1920,8868,AVON PRODUCTS,"CEO, Chief Executive Officer",,,,,
1920,8868,AVON PRODUCTS,"CFO, Chief Financial Officer",,,,,
1926,8947,AZZ INC,"CEO, Chief Executive Officer",,,,,
1926,8947,AZZ INC,"CFO, Chief Financial Officer",,,,,
1968,9092,BADGER METER INC,"CEO, Chief Executive Officer",,,,,
1968,9092,BADGER METER INC,"CFO, Chief Financial Officer",,,,,
146734,9235,BKF CAPITAL GROUP INC,"CEO, Chief Executive Officer",,,,,
146734,9235,BKF CAPITAL GROUP INC,"CFO, Chief Financial Officer",,,,,
1979,9326,BALCHEM CORP,"CEO, Chief Executive Officer",,,,,
1979,9326,BALCHEM CORP,"CFO, Chief Financial Officer",,,,,
1982,9346,PROTECTIVE INSURANCE CORP,"CEO, Chief Executive Officer",,,,,
1982,9346,PROTECTIVE INSURANCE CORP,"CFO, Chief Financial Officer",,,,,
1988,9389,BALL CORP,"CEO, Chief Executive Officer",,,,,
1988,9389,BALL CORP,"CFO, Chief Financial Officer",,,,,
144580,9466,BALTIMORE GAS & ELECTRIC CO,"CEO, Chief Executive Officer",,,,,
144580,9466,BALTIMORE GAS & ELECTRIC CO,"CFO, Chief Financial Officer",,,,,
15582,9631,BANK OF NOVA SCOTIA,"CEO, Chief Executive Officer",,,,,
15582,9631,BANK OF NOVA SCOTIA,"CFO, Chief Financial Officer",,,,,
2044,9892,BARD (C.R.) INC,"CEO, Chief Executive Officer",,,,,
2044,9892,BARD (C.R.) INC,"CFO, Chief Financial Officer",,,,,
2049,9984,BARNES GROUP INC,"CEO, Chief Executive Officer",,,,,
2049,9984,BARNES GROUP INC,"CFO, Chief Financial Officer",,,,,
2052,10048,BARNWELL INDUSTRIES,"CEO, Chief Executive Officer",,,,,
2052,10048,BARNWELL INDUSTRIES,"CFO, Chief Financial Officer",,,,,
22671,10254,EARTHSTONE ENERGY INC,"CEO, Chief Executive Officer",,,,,
22671,10254,EARTHSTONE ENERGY INC,"CFO, Chief Financial Officer",,,,,
2080,10329,BASSETT FURNITURE INDS,"CEO, Chief Executive Officer",,,,,
2080,10329,BASSETT FURNITURE INDS,"CFO, Chief Financial Officer",,,,,
2086,10456,BAXTER INTERNATIONAL INC,"CEO, Chief Executive Officer",,,,,
2086,10456,BAXTER INTERNATIONAL INC,"CFO, Chief Financial Officer",,,,,
2111,10795,BECTON DICKINSON & CO,"CEO, Chief Executive Officer",,,,,
2111,10795,BECTON DICKINSON & CO,"CFO, Chief Financial Officer",,,,,
2154,11199,BEMIS CO INC,"CEO, Chief Executive Officer",,,,,
2154,11199,BEMIS CO INC,"CFO, Chief Financial Officer",,,,,
14822,11544,BERKLEY (W R) CORP,"CEO, Chief Executive Officer",,,,,
14822,11544,BERKLEY (W R) CORP,"CFO, Chief Financial Officer",,,,,
4759,12040,FLANIGANS ENTERPRISES INC,"CEO, Chief Executive Officer",,,,,
4759,12040,FLANIGANS ENTERPRISES INC,"CFO, Chief Financial Officer",,,,,
2220,12208,BIO-RAD LABORATORIES INC,"CEO, Chief Executive Officer",,,,,
2220,12208,BIO-RAD LABORATORIES INC,"CFO, Chief Financial Officer",,,,,
18738,12239,SPHERIX INC,"CEO, Chief Executive Officer",,,,,
18738,12239,SPHERIX INC,"CFO, Chief Financial Officer",,,,,
144646,12400,BLACK HILLS POWER INC,"CEO, Chief Executive Officer",,,,,
144646,12400,BLACK HILLS POWER INC,"CFO, Chief Financial Officer",,,,,
2269,12659,BLOCK H & R INC,"CEO, Chief Executive Officer",,,,,
2269,12659,BLOCK H & R INC,"CFO, Chief Financial Officer",,,,,
2277,12779,BLUE RIDGE REAL ESTATE CO,"CEO, Chief Executive Officer",,,,,
2277,12779,BLUE RIDGE REAL ESTATE CO,"CFO, Chief Financial Officer",,,,,
2285,12927,BOEING CO,"CEO, Chief Executive Officer",,,,,
2285,12927,BOEING CO,"CFO, Chief Financial Officer",,,,,
2316,13239,HEXION INC,"CEO, Chief Executive Officer",,,,,
2316,13239,HEXION INC,"CFO, Chief Financial Officer",,,,,
115567,13372,NSTAR ELECTRIC CO,"CEO, Chief Executive Officer",,,,,
115567,13372,NSTAR ELECTRIC CO,"CFO, Chief Financial Officer",,,,,
2338,13522,REXAM PLC,"CEO, Chief Executive Officer",,,,,
2338,13522,REXAM PLC,"CFO, Chief Financial Officer",,,,,
2342,13573,BOWL AMERICA INC  ,"CEO, Chief Executive Officer",,,,,
2342,13573,BOWL AMERICA INC  ,"CFO, Chief Financial Officer",,,,,
2390,14177,BRIDGFORD FOODS CORP,"CEO, Chief Executive Officer",,,,,
2390,14177,BRIDGFORD FOODS CORP,"CFO, Chief Financial Officer",,,,,
2393,14195,BRIGGS & STRATTON,"CEO, Chief Executive Officer",,,,,
2393,14195,BRIGGS & STRATTON,"CFO, Chief Financial Officer",,,,,
2403,14272,BRISTOL-MYERS SQUIBB CO,"CEO, Chief Executive Officer",,,,,
2403,14272,BRISTOL-MYERS SQUIBB CO,"CFO, Chief Financial Officer",,,,,
2435,14693,BROWN FORMAN CORP,"CEO, Chief Executive Officer",,,,,
2435,14693,BROWN FORMAN CORP,"CFO, Chief Financial Officer",,,,,
2436,14707,CALERES INC,"CEO, Chief Executive Officer",,,,,
2436,14707,CALERES INC,"CFO, Chief Financial Officer",,,,,
1949,14846,BRT APARTMENTS CORP,"CEO, Chief Executive Officer",,,,,
1949,14846,BRT APARTMENTS CORP,"CFO, Chief Financial Officer",,,,,
2444,14930,BRUNSWICK CORP,"CEO, Chief Executive Officer",,,,,
2444,14930,BRUNSWICK CORP,"CFO, Chief Financial Officer",,,,,
154984,15357,CHASE GENERAL CORP,"CEO, Chief Executive Officer",,,,,
154984,15357,CHASE GENERAL CORP,"CFO, Chief Financial Officer",,,,,
12312,15511,BNSF RAILWAY CO,"CEO, Chief Executive Officer",,,,,
12312,15511,BNSF RAILWAY CO,"CFO, Chief Financial Officer",,,,,
2497,15615,MASTEC INC,"CEO, Chief Executive Officer",,,,,
2497,15615,MASTEC INC,"CFO, Chief Financial Officer",,,,,
2519,15847,BUTLER NATIONAL CORP,"CEO, Chief Executive Officer",,,,,
2519,15847,BUTLER NATIONAL CORP,"CFO, Chief Financial Officer",,,,,
2593,16040,CABOT CORP,"CEO, Chief Executive Officer",,,,,
2593,16040,CABOT CORP,"CFO, Chief Financial Officer",,,,,
2596,16058,CACI INTL INC  ,"CEO, Chief Executive Officer",,,,,
2596,16058,CACI INTL INC  ,"CFO, Chief Financial Officer",,,,,
6831,16099,LUBYS INC,"CEO, Chief Executive Officer",,,,,
6831,16099,LUBYS INC,"CFO, Chief Financial Officer",,,,,
64275,16160,CAL-MAINE FOODS INC,"CEO, Chief Executive Officer",,,,,
64275,16160,CAL-MAINE FOODS INC,"CFO, Chief Financial Officer",,,,,
2663,16732,CAMPBELL SOUP CO,"CEO, Chief Executive Officer",,,,,
2663,16732,CAMPBELL SOUP CO,"CFO, Chief Financial Officer",,,,,
6233,16859,MFC BANCORP LTD,"CEO, Chief Executive Officer",,,,,
6233,16859,MFC BANCORP LTD,"CFO, Chief Financial Officer",,,,,
2696,16868,CANADIAN NATIONAL RAILWAY CO,"CEO, Chief Executive Officer",,,,,
2696,16868,CANADIAN NATIONAL RAILWAY CO,"CFO, Chief Financial Officer",,,,,
2698,16875,CANADIAN PACIFIC RAILWAY LTD,"CEO, Chief Executive Officer",,,,,
2698,16875,CANADIAN PACIFIC RAILWAY LTD,"CFO, Chief Financial Officer",,,,,
2710,16918,CONSTELLATION BRANDS,"CEO, Chief Executive Officer",,,,,
2710,16918,CONSTELLATION BRANDS,"CFO, Chief Financial Officer",,,,,
2721,16988,CANON INC,"CEO, Chief Executive Officer",,,,,
2721,16988,CANON INC,"CFO, Chief Financial Officer",,,,,
20029,17313,CAPITAL SOUTHWEST CORP,"CEO, Chief Executive Officer",,,,,
20029,17313,CAPITAL SOUTHWEST CORP,"CFO, Chief Financial Officer",,,,,
164275,17485,LIBERATOR MEDICAL HLDGS INC,"CEO, Chief Executive Officer",,,,,
164275,17485,LIBERATOR MEDICAL HLDGS INC,"CFO, Chief Financial Officer",,,,,
144848,17797,DUKE ENERGY PROGRESS INC,"CEO, Chief Executive Officer",,,,,
144848,17797,DUKE ENERGY PROGRESS INC,"CFO, Chief Financial Officer",,,,,
2787,17843,CARPENTER TECHNOLOGY CORP,"CEO, Chief Executive Officer",,,,,
2787,17843,CARPENTER TECHNOLOGY CORP,"CFO, Chief Financial Officer",,,,,
2811,18172,CASTLE (A M) & CO,"CEO, Chief Executive Officer",,,,,
2811,18172,CASTLE (A M) & CO,"CFO, Chief Financial Officer",,,,,
2817,18230,CATERPILLAR INC,"CEO, Chief Executive Officer",,,,,
2817,18230,CATERPILLAR INC,"CFO, Chief Financial Officer",,,,,
2818,18255,CATO CORP  ,"CEO, Chief Executive Officer",,,,,
2818,18255,CATO CORP  ,"CFO, Chief Financial Officer",,,,,
13041,18349,SYNOVUS FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
13041,18349,SYNOVUS FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
2538,18396,CDI CORP,"CEO, Chief Executive Officer",,,,,
2538,18396,CDI CORP,"CFO, Chief Financial Officer",,,,,
5109,18498,GENESCO INC,"CEO, Chief Executive Officer",,,,,
5109,18498,GENESCO INC,"CFO, Chief Financial Officer",,,,,
2852,18605,CENTRAL NATURAL RES INC,"CEO, Chief Executive Officer",,,,,
2852,18605,CENTRAL NATURAL RES INC,"CFO, Chief Financial Officer",,,,,
156417,18647,CENTRAL HUDSON GAS & ELECTR,"CEO, Chief Executive Officer",,,,,
156417,18647,CENTRAL HUDSON GAS & ELECTR,"CFO, Chief Financial Officer",,,,,
24868,18654,AMEREN ILLINOIS CO,"CEO, Chief Executive Officer",,,,,
24868,18654,AMEREN ILLINOIS CO,"CFO, Chief Financial Officer",,,,,
145268,18672,CLECO POWER LLC,"CEO, Chief Executive Officer",,,,,
145268,18672,CLECO POWER LLC,"CFO, Chief Financial Officer",,,,,
146411,18675,CENTRAL MAINE POWER CO,"CEO, Chief Executive Officer",,,,,
146411,18675,CENTRAL MAINE POWER CO,"CFO, Chief Financial Officer",,,,,
2862,18734,AEP TEXAS CENTRAL CO,"CEO, Chief Executive Officer",,,,,
2862,18734,AEP TEXAS CENTRAL CO,"CFO, Chief Financial Officer",,,,,
2865,18783,CENTRAL STEEL & WIRE CO,"CEO, Chief Executive Officer",,,,,
2865,18783,CENTRAL STEEL & WIRE CO,"CFO, Chief Financial Officer",,,,,
2884,18926,CENTURYLINK INC,"CEO, Chief Executive Officer",,,,,
2884,18926,CENTURYLINK INC,"CFO, Chief Financial Officer",,,,,
26900,19149,CHAMPION INDUSTRIES INC,"CEO, Chief Executive Officer",,,,,
26900,19149,CHAMPION INDUSTRIES INC,"CFO, Chief Financial Officer",,,,,
2940,19411,MAGELLAN HEALTH INC,"CEO, Chief Executive Officer",,,,,
2940,19411,MAGELLAN HEALTH INC,"CFO, Chief Financial Officer",,,,,
2942,19446,CANTEL MEDICAL CORP,"CEO, Chief Executive Officer",,,,,
2942,19446,CANTEL MEDICAL CORP,"CFO, Chief Financial Officer",,,,,
2960,19584,CHEMED CORP,"CEO, Chief Executive Officer",,,,,
2960,19584,CHEMED CORP,"CFO, Chief Financial Officer",,,,,
15197,19612,CHEMICAL FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
15197,19612,CHEMICAL FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
2968,19617,JPMORGAN CHASE & CO,"CEO, Chief Executive Officer",,,,,
2968,19617,JPMORGAN CHASE & CO,"CFO, Chief Financial Officer",,,,,
2986,19745,CHESAPEAKE UTILITIES CORP,"CEO, Chief Executive Officer",,,,,
2986,19745,CHESAPEAKE UTILITIES CORP,"CFO, Chief Financial Officer",,,,,
2999,19871,CHICAGO RIVET & MACHINE CO,"CEO, Chief Executive Officer",,,,,
2999,19871,CHICAGO RIVET & MACHINE CO,"CFO, Chief Financial Officer",,,,,
3024,20171,CHUBB CORP,"CEO, Chief Executive Officer",,,,,
3024,20171,CHUBB CORP,"CFO, Chief Financial Officer",,,,,
3028,20212,CHURCHILL DOWNS INC,"CEO, Chief Executive Officer",,,,,
3028,20212,CHURCHILL DOWNS INC,"CFO, Chief Financial Officer",,,,,
14824,20286,CINCINNATI FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
14824,20286,CINCINNATI FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
3039,20290,DUKE ENERGY OHIO INC,"CEO, Chief Executive Officer",,,,,
3039,20290,DUKE ENERGY OHIO INC,"CFO, Chief Financial Officer",,,,,
135484,20520,FRONTIER COMMUNICATIONS CORP,"CEO, Chief Executive Officer",,,,,
135484,20520,FRONTIER COMMUNICATIONS CORP,"CFO, Chief Financial Officer",,,,,
2556,20629,CSS INDUSTRIES INC,"CEO, Chief Executive Officer",,,,,
2556,20629,CSS INDUSTRIES INC,"CFO, Chief Financial Officer",,,,,
24010,20639,AMBASE CORP,"CEO, Chief Executive Officer",,,,,
24010,20639,AMBASE CORP,"CFO, Chief Financial Officer",,,,,
3093,20740,CLARCOR INC,"CEO, Chief Executive Officer",,,,,
3093,20740,CLARCOR INC,"CFO, Chief Financial Officer",,,,,
12564,20947,CLEVELAND ELECTRIC ILLUM,"CEO, Chief Executive Officer",,,,,
12564,20947,CLEVELAND ELECTRIC ILLUM,"CFO, Chief Financial Officer",,,,,
3121,21076,CLOROX CO/DE,"CEO, Chief Executive Officer",,,,,
3121,21076,CLOROX CO/DE,"CFO, Chief Financial Officer",,,,,
2558,21175,CNA FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
2558,21175,CNA FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
3144,21344,COCA-COLA CO,"CEO, Chief Executive Officer",,,,,
3144,21344,COCA-COLA CO,"CFO, Chief Financial Officer",,,,,
3157,21510,COHERENT INC,"CEO, Chief Executive Officer",,,,,
3157,21510,COHERENT INC,"CFO, Chief Financial Officer",,,,,
3158,21535,COHU INC,"CEO, Chief Executive Officer",,,,,
3158,21535,COHU INC,"CFO, Chief Financial Officer",,,,,
3170,21665,COLGATE-PALMOLIVE CO,"CEO, Chief Executive Officer",,,,,
3170,21665,COLGATE-PALMOLIVE CO,"CFO, Chief Financial Officer",,,,,
3184,21828,CCOM GROUP INC,"CEO, Chief Executive Officer",,,,,
3184,21828,CCOM GROUP INC,"CFO, Chief Financial Officer",,,,,
3218,22252,COMARCO INC,"CEO, Chief Executive Officer",,,,,
3218,22252,COMARCO INC,"CFO, Chief Financial Officer",,,,,
3238,22356,COMMERCE BANCSHARES INC,"CEO, Chief Executive Officer",,,,,
3238,22356,COMMERCE BANCSHARES INC,"CFO, Chief Financial Officer",,,,,
3246,22444,COMMERCIAL METALS,"CEO, Chief Executive Officer",,,,,
3246,22444,COMMERCIAL METALS,"CFO, Chief Financial Officer",,,,,
31596,22606,COMMONWEALTH EDISON CO,"CEO, Chief Executive Officer",,,,,
31596,22606,COMMONWEALTH EDISON CO,"CFO, Chief Financial Officer",,,,,
3275,22701,COMMUNICATIONS SYSTEMS INC,"CEO, Chief Executive Officer",,,,,
3275,22701,COMMUNICATIONS SYSTEMS INC,"CFO, Chief Financial Officer",,,,,
10502,22767,TEXAS NEW MEXICO POWER CO,"CEO, Chief Executive Officer",,,,,
10502,22767,TEXAS NEW MEXICO POWER CO,"CFO, Chief Financial Officer",,,,,
3342,23111,COMPUTER TASK GROUP INC,"CEO, Chief Executive Officer",,,,,
3342,23111,COMPUTER TASK GROUP INC,"CFO, Chief Financial Officer",,,,,
34010,23194,COMSTOCK RESOURCES INC,"CEO, Chief Executive Officer",,,,,
34010,23194,COMSTOCK RESOURCES INC,"CFO, Chief Financial Officer",,,,,
3358,23197,COMTECH TELECOMMUN,"CEO, Chief Executive Officer",,,,,
3358,23197,COMTECH TELECOMMUN,"CFO, Chief Financial Officer",,,,,
3362,23217,CONAGRA BRANDS INC,"CEO, Chief Executive Officer",,,,,
3362,23217,CONAGRA BRANDS INC,"CFO, Chief Financial Officer",,,,,
3392,23426,CONNECTICUT LIGHT & POWER CO,"CEO, Chief Executive Officer",,,,,
3392,23426,CONNECTICUT LIGHT & POWER CO,"CFO, Chief Financial Officer",,,,,
105999,23632,CONSOLIDATED EDISON CO OF NY,"CEO, Chief Executive Officer",,,,,
105999,23632,CONSOLIDATED EDISON CO OF NY,"CFO, Chief Financial Officer",,,,,
3416,23675,CON-WAY INC,"CEO, Chief Executive Officer",,,,,
3416,23675,CON-WAY INC,"CFO, Chief Financial Officer",,,,,
3429,23795,CONSOLIDATED TOMOKA LAND CO,"CEO, Chief Executive Officer",,,,,
